Site_Rep,Treatment,Group,Chill_Date,I/O,Tetrastichus,Tetrastichus Failed to Eclose,EAB Larvae,Tet. Stage,EAB. Stage,Notes
11_1_1,Control,1,11_11,O,0,0,0,NA,NA,"O/I: ""Samples collected from (Outside) the log, vs. (Inside) the log-Whether the individuals emerged or not"
11_1_1,Control,1,11_11,I,0,360,8,NA,Larvae,
11_1_2,Control,1,11_11,O,1,0,0,Adult,NA,
11_1_3,Control,1,11_11,I,5,53,0,Adult,NA,
11_1_3,Control,1,11_11,O,61,0,0,Adult,NA,
11_1_4,Treatment,1,11_11,I,0,270,6,NA,Larvae,
11_1_4,Treatment,1,11_11,O,6,0,0,Adult,NA,
11_1_5,Treatment,1,11_11,I,5,180,4,Adult,Larvae,
11_1_5,Treatment,1,11_11,O,1,0,0,Adult,NA,
11_1_6,Treatment,1,11_11,I,1,0,0,Adult,NA,
11_1_6,Treatment,1,11_11,O,12,0,0,Adult,NA,
11_2_1,Control,2,11_4,I,0,540,12,NA,Larvae,
11_2_1,Control,2,11_4,O,90,0,0,Adult,NA,
11_2_2,Control,2,11_4,I,0,225,5,NA,Larvae,
11_2_2,Control,2,11_4,O,37,0,0,Adult,NA,
11_2_3,Control,2,11_4,I,0,180,3,NA,Adult,
11_2_3,Control,2,11_4,O,0,0,1,NA,Adult,
11_2_4,Treatment,2,11_4,I,0,630,14,NA,Larvae,
11_2_4,Treatment,2,11_4,O,0,0,0,NA,NA,
11_2_5,Treatment,2,11_4,I,0,270,6,NA,Larvae,
11_2_5,Treatment,2,11_4,O,0,0,0,NA,NA,
11_2_6,Treatment,2,11_4,I,0,0,0,NA,NA,
11_2_6,Treatment,2,11_4,O,38,0,0,Adult,NA,
5_1_1,Control,3,10_28,O,0,0,0,NA,NA,
5_1_1,Control,3,10_28,I,0,540,12,NA,Larvae,
5_1_2,Control,3,10_28,I,20,0,0,Adult,NA,
5_1_2,Control,3,10_28,O,0,0,0,NA,NA,
5_1_3,Control,3,10_28,I,3,180,4,Adult,Larvae,
5_1_3,Control,3,10_28,O,46,0,0,Adult,NA,
5_1_4,Treatment,3,10_28,I,0,450,10,NA,Larvae,
5_1_5,Treatment,3,10_28,I,7,0,0,NA,Larvae,
5_1_5,Treatment,3,10_28,O,0,0,0,NA,NA,
5_1_6,Treatment,3,10_28,I,10,82,1,Adult,NA,
5_1_6,Treatment,3,10_28,O,0,0,1,NA,Adult,
