Group,Month,Jar,SCP_Value,CollectedDate,TwoWeekDate
Nov_1_U,November,1_Open,-21.5,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22.8,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-24.2,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22.3,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-21.8,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-22.5,11/30/2021,11/16/2021
Nov_1_U,November,1_Open,-24.2,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-23.2,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-21.3,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-22,11/30/2021,11/16/2021
Nov_1_D,November,1_Dense,-24.2,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-22.9,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-22.5,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-23.1,11/30/2021,11/16/2021
Nov_2_U,November,2_Open,-22.4,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-22.5,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-23.7,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-24.1,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-23.6,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-21.5,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-22.8,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-25.4,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-24.3,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-22.3,11/30/2021,11/16/2021
Nov_2_D,November,2_Dense,-21.8,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-22.5,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-24.2,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-23.2,11/30/2021,11/16/2021
Nov_3_U,November,3_Open,-21.3,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-19.4,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-20.4,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-24.9,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-24.7,11/30/2021,11/16/2021
Nov_3_D,November,3_Dense,-22.3,11/30/2021,11/16/2021
